"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","148.9","","","","1"
"2022-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","149.8","","","","1"
"2022-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","151.9","","","","1"
"2022-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","152.9","","","","1"
"2022-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","153.1","","","","1"
"2022-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","152.6","","","","1"
"2022-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","152.7","","","","1"
"2022-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","153.8","","","","1"
"2022-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","154.0","","","","1"
"2022-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","153.1","","","","1"
"2023-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","153.9","","","","1"
"2023-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","154.5","","","","1"
"2023-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","155.3","","","","1"
"2023-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","156.4","","","","1"
"2023-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","157.0","","","","1"
"2023-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","157.2","","","","1"
"2023-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","158.1","","","","1"
"2023-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","158.7","","","","1"
"2023-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","158.5","","","","1"
"2023-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","158.6","","","","1"
"2023-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","158.8","","","","1"
"2023-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","158.3","","","","1"
"2024-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","158.3","","","","1"
"2024-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","158.8","","","","1"
"2024-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","159.8","","","","1"
"2024-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","160.6","","","","1"
"2024-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","161.5","","","","1"
"2024-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","161.4","","","","1"
"2024-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","162.1","","","","1"
"2024-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","161.8","","","","1"
"2024-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","161.1","","","","1"
"2024-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","161.8","","","","1"
"2024-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","161.8","","","","1"
"2024-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","161.2","","","","1"
