HTS Number,Country,District,Year,Month,calculated_duties,charges_ins_freight,customs_value,landed_duty_paid,qty_first_kilograms,qty_first_number,qty_second_kilograms,kg_total,date,usd_per_kg_landed,baseline,price_ratio,price_outlier
730630,Brazil,"Boston, MA",2025,January,0,278,28706,28984,21913.0,0.0,0.0,21913.0,2025-01-01,1.3226851640578652,1.8192291676305927,0.7270580241303858,False
730630,Brazil,"Chicago, IL",2022,January,0,38088,211561,249649,81042.0,0.0,0.0,81042.0,2022-01-01,3.0804891290935563,2.3530652440852995,1.3091388506275892,False
730630,Brazil,"Chicago, IL",2022,February,0,772,16400,17172,10483.0,0.0,0.0,10483.0,2022-02-01,1.6380807020890966,2.7716677981443767,0.591009031885346,False
730630,Brazil,"Chicago, IL",2022,April,0,2500,21996,24496,8838.0,0.0,0.0,8838.0,2022-04-01,2.7716677981443767,2.7716677981443767,1.0,False
730630,Brazil,"Chicago, IL",2022,July,0,20000,246552,266552,76225.0,0.0,0.0,76225.0,2022-07-01,3.496910462446704,3.612109692182771,0.9681074940815396,False
730630,Brazil,"Chicago, IL",2023,January,0,500,22481,22981,8731.0,0.0,0.0,8731.0,2023-01-01,2.6321154506929334,2.765389896046401,0.951806273124811,False
730630,Brazil,"Chicago, IL",2023,April,0,106,7100,7206,430.0,0.0,0.0,430.0,2023-04-01,16.75813953488372,2.765389896046401,6.059955436606735,True
730630,Brazil,"Chicago, IL",2023,August,0,2926,150600,153526,4974.0,0.0,0.0,4974.0,2023-08-01,30.86570164857258,2.765389896046401,11.161428517801555,True
730630,Brazil,"El Paso, TX",2026,June,7012,198,14023,21233,5600.0,0.0,0.0,5600.0,2026-06-01,3.791607142857143,11.201506489200455,0.3384908223293617,False
730630,Brazil,"Houston-Galveston, TX",2022,June,0,32819,162914,195733,54188.0,0.0,0.0,54188.0,2022-06-01,3.612109692182771,3.612109692182771,1.0,False
730630,Brazil,"Houston-Galveston, TX",2022,July,0,48001,762549,810550,214106.0,0.0,0.0,214106.0,2022-07-01,3.785741641990416,3.612109692182771,1.048069401154515,False
730630,Brazil,"Houston-Galveston, TX",2025,June,1358,483,2716,4557,2563.0,0.0,0.0,2563.0,2025-06-01,1.77799453765119,1.6950951487536854,1.0489054487345186,False
730630,Brazil,"Los Angeles, CA",2022,January,0,11174,92150,103324,35697.0,0.0,0.0,35697.0,2022-01-01,2.8944729248956493,2.3530652440852995,1.230086132193419,False
730630,Brazil,"Los Angeles, CA",2022,July,0,22146,92864,115010,32702.0,0.0,0.0,32702.0,2022-07-01,3.516910280716776,3.612109692182771,0.9736443741805452,False
730630,Brazil,"Los Angeles, CA",2023,April,0,4000,66977,70977,26500.0,0.0,0.0,26500.0,2023-04-01,2.678377358490566,2.765389896046401,0.9685351647229802,False
730630,Brazil,"Miami, FL",2022,July,0,37617,110435,148052,30639.0,0.0,0.0,30639.0,2022-07-01,4.832142041189334,3.612109692182771,1.337761710738443,False
730630,Brazil,"Miami, FL",2023,January,0,3000,109301,112301,55684.0,0.0,0.0,55684.0,2023-01-01,2.0167552618346383,2.765389896046401,0.7292842375384158,False
730630,Brazil,"New Orleans, LA",2025,June,10171,4250,20341,34762,19050.0,0.0,0.0,19050.0,2025-06-01,1.824776902887139,1.6950951487536854,1.076504114962987,False
730630,Brazil,"New Orleans, LA",2025,July,30022,4800,60044,94866,55965.0,0.0,0.0,55965.0,2025-07-01,1.6950951487536854,1.8192291676305927,0.9317655955139602,False
730630,Brazil,"New York, NY",2022,January,0,39421,81706,121127,37056.0,0.0,0.0,37056.0,2022-01-01,3.268755397236615,2.3530652440852995,1.3891477958178202,False
730630,Brazil,"New York, NY",2026,March,10668,2501,33598,46767,19891.0,0.0,0.0,19891.0,2026-03-01,2.351163842944045,2.351163842944045,1.0,False
730630,Brazil,"Nogales, AZ",2022,January,0,43691,169374,213065,66688.0,0.0,0.0,66688.0,2022-01-01,3.1949526151631478,2.3530652440852995,1.3577832672485513,False
730630,Brazil,"Norfolk, VA",2022,January,0,1000,101370,102370,36858.0,0.0,0.0,36858.0,2022-01-01,2.777416029084595,2.3530652440852995,1.1803395745468384,False
730630,Brazil,"Norfolk, VA",2026,May,4488,569,8976,14033,754.0,0.0,0.0,754.0,2026-05-01,18.611405835543767,3.791607142857143,4.908579695711633,True
730630,Brazil,"Seattle, WA",2023,April,0,8000,111205,119205,44448.0,0.0,0.0,44448.0,2023-04-01,2.681897948164147,2.765389896046401,0.9698082545243909,False
730630,Canada,"Anchorage, AK",2022,October,0,1000,110263,111263,10412.0,0.0,0.0,10412.0,2022-10-01,10.686035343834037,1.7480083269912785,6.1132634088918465,True
730630,Canada,"Anchorage, AK",2023,June,0,218,11739,11957,7504.0,0.0,0.0,7504.0,2023-06-01,1.5934168443496801,1.7004764608050442,0.9370414004997872,False
730630,Canada,"Anchorage, AK",2023,July,0,2001,4551,6552,889.0,0.0,0.0,889.0,2023-07-01,7.3700787401574805,1.7004764608050442,4.334125705373374,True
730630,Canada,"Anchorage, AK",2024,July,0,1000,3024,4024,2181.0,0.0,0.0,2181.0,2024-07-01,1.8450252177900046,1.4045828490236958,1.313575214927659,False
730630,Canada,"Anchorage, AK",2024,November,0,500,3308,3808,2793.0,0.0,0.0,2793.0,2024-11-01,1.363408521303258,1.2716897533661937,1.072123540898464,False
730630,Canada,"Anchorage, AK",2025,April,5200,61,28041,33302,11891.0,0.0,0.0,11891.0,2025-04-01,2.8006054999579515,1.6308011492550385,1.717318816728384,False
730630,Canada,"Anchorage, AK",2025,August,14408,131,49228,63767,21872.0,0.0,0.0,21872.0,2025-08-01,2.915462692026335,1.7627809468462792,1.6538995938447558,False
730630,Canada,"Anchorage, AK",2025,September,8644,48,28031,36723,4373.0,0.0,0.0,4373.0,2025-09-01,8.39766750514521,1.6989698835963534,4.942799508234458,True
730630,Canada,"Anchorage, AK",2025,October,54979,6905,153623,215507,111101.0,0.0,0.0,111101.0,2025-10-01,1.939739516295983,1.6805848090862066,1.1542050754050834,False
730630,Canada,"Anchorage, AK",2025,December,19084,70,38167,57321,23341.0,0.0,0.0,23341.0,2025-12-01,2.4558073775759395,1.6488830120240787,1.4893763594309366,False
730630,Canada,"Anchorage, AK",2026,February,61859,257,123711,185827,25629.0,0.0,0.0,25629.0,2026-02-01,7.250653556518007,1.6636533784535024,4.358271771285713,True
730630,Canada,"Anchorage, AK",2026,May,0,202,54417,54619,11111.0,0.0,0.0,11111.0,2026-05-01,4.915759157591576,1.7991213145968543,2.73231111082306,False
730630,Canada,"Buffalo, NY",2022,January,0,25515,2834282,2859797,1206344.0,0.0,0.0,1206344.0,2022-01-01,2.3706314285145864,2.3092215853094737,1.0265933090162427,False
730630,Canada,"Buffalo, NY",2022,February,0,47029,4679298,4726327,2159067.0,0.0,0.0,2159067.0,2022-02-01,2.189059904115991,2.2554884047270067,0.9705480637932803,False
730630,Canada,"Buffalo, NY",2022,March,0,59607,5365885,5425492,2795890.0,0.0,0.0,2795890.0,2022-03-01,1.940524126485663,2.0692205567140682,0.9378043921848641,False
730630,Canada,"Buffalo, NY",2022,April,0,50037,4284545,4334582,2163350.0,0.0,0.0,2163350.0,2022-04-01,2.003643423394273,2.0692205567140682,0.9683082921697181,False
730630,Canada,"Buffalo, NY",2022,May,0,40900,4204179,4245079,2059116.0,0.0,0.0,2059116.0,2022-05-01,2.0616026489037043,2.0928572278430826,0.985066072102974,False
730630,Canada,"Buffalo, NY",2022,June,0,54967,5434856,5489823,2508968.0,0.0,0.0,2508968.0,2022-06-01,2.1880801189971333,2.0928572278430826,1.0454989905126917,False
