HTS Number,Country,District,Year,Month,calculated_duties,charges_ins_freight,customs_value,landed_duty_paid,qty_first_kilograms,qty_first_number,qty_second_kilograms,kg_total,date
730630,Brazil,"Chicago, IL",2022,January,0,38088,211561,249649,81042.0,0.0,0.0,81042.0,2022-01-01
730630,Brazil,"Los Angeles, CA",2022,January,0,11174,92150,103324,35697.0,0.0,0.0,35697.0,2022-01-01
730630,Brazil,"New York, NY",2022,January,0,39421,81706,121127,37056.0,0.0,0.0,37056.0,2022-01-01
730630,Brazil,"Nogales, AZ",2022,January,0,43691,169374,213065,66688.0,0.0,0.0,66688.0,2022-01-01
730630,Brazil,"Norfolk, VA",2022,January,0,1000,101370,102370,36858.0,0.0,0.0,36858.0,2022-01-01
730630,Brazil,"Chicago, IL",2022,February,0,772,16400,17172,10483.0,0.0,0.0,10483.0,2022-02-01
730630,Brazil,"Chicago, IL",2022,April,0,2500,21996,24496,8838.0,0.0,0.0,8838.0,2022-04-01
730630,Brazil,"Houston-Galveston, TX",2022,June,0,32819,162914,195733,54188.0,0.0,0.0,54188.0,2022-06-01
730630,Brazil,"Chicago, IL",2022,July,0,20000,246552,266552,76225.0,0.0,0.0,76225.0,2022-07-01
730630,Brazil,"Houston-Galveston, TX",2022,July,0,48001,762549,810550,214106.0,0.0,0.0,214106.0,2022-07-01
730630,Brazil,"Los Angeles, CA",2022,July,0,22146,92864,115010,32702.0,0.0,0.0,32702.0,2022-07-01
730630,Brazil,"Miami, FL",2022,July,0,37617,110435,148052,30639.0,0.0,0.0,30639.0,2022-07-01
730630,Brazil,"Chicago, IL",2023,January,0,500,22481,22981,8731.0,0.0,0.0,8731.0,2023-01-01
730630,Brazil,"Miami, FL",2023,January,0,3000,109301,112301,55684.0,0.0,0.0,55684.0,2023-01-01
730630,Brazil,"Chicago, IL",2023,April,0,106,7100,7206,430.0,0.0,0.0,430.0,2023-04-01
730630,Brazil,"Los Angeles, CA",2023,April,0,4000,66977,70977,26500.0,0.0,0.0,26500.0,2023-04-01
730630,Brazil,"Seattle, WA",2023,April,0,8000,111205,119205,44448.0,0.0,0.0,44448.0,2023-04-01
730630,Brazil,"Chicago, IL",2023,August,0,2926,150600,153526,4974.0,0.0,0.0,4974.0,2023-08-01
730630,Brazil,"Boston, MA",2025,January,0,278,28706,28984,21913.0,0.0,0.0,21913.0,2025-01-01
730630,Brazil,"Houston-Galveston, TX",2025,June,1358,483,2716,4557,2563.0,0.0,0.0,2563.0,2025-06-01
730630,Brazil,"New Orleans, LA",2025,June,10171,4250,20341,34762,19050.0,0.0,0.0,19050.0,2025-06-01
730630,Brazil,"New Orleans, LA",2025,July,30022,4800,60044,94866,55965.0,0.0,0.0,55965.0,2025-07-01
730630,Brazil,"New York, NY",2026,March,10668,2501,33598,46767,19891.0,0.0,0.0,19891.0,2026-03-01
730630,Brazil,"Norfolk, VA",2026,May,4488,569,8976,14033,754.0,0.0,0.0,754.0,2026-05-01
730630,Brazil,"El Paso, TX",2026,June,7012,198,14023,21233,5600.0,0.0,0.0,5600.0,2026-06-01
730630,Canada,"Buffalo, NY",2022,January,0,25515,2834282,2859797,1206344.0,0.0,0.0,1206344.0,2022-01-01
730630,Canada,"Detroit, MI",2022,January,0,191912,20337224,20529136,8610846.0,0.0,0.0,8610846.0,2022-01-01
730630,Canada,"Duluth, MN",2022,January,0,3900,3874,7774,1309.0,0.0,0.0,1309.0,2022-01-01
730630,Canada,"Great Falls, MT",2022,January,0,12033,322498,334531,211946.0,0.0,0.0,211946.0,2022-01-01
730630,Canada,"Ogdensburg, NY",2022,January,0,7204,2036484,2043688,814773.0,0.0,0.0,814773.0,2022-01-01
730630,Canada,"Pembina, ND",2022,January,0,18246,1592943,1611189,789425.0,0.0,0.0,789425.0,2022-01-01
730630,Canada,"Seattle, WA",2022,January,0,150,49552,49702,48580.0,0.0,0.0,48580.0,2022-01-01
730630,Canada,"St. Albans, VT",2022,January,0,7459,1635510,1642969,622889.0,0.0,0.0,622889.0,2022-01-01
730630,Canada,"Buffalo, NY",2022,February,0,47029,4679298,4726327,2159067.0,0.0,0.0,2159067.0,2022-02-01
730630,Canada,"Cleveland, OH",2022,February,0,200,5250,5450,748.0,0.0,0.0,748.0,2022-02-01
730630,Canada,"Detroit, MI",2022,February,0,199134,19575541,19774675,8655975.0,0.0,0.0,8655975.0,2022-02-01
730630,Canada,"Great Falls, MT",2022,February,0,2707,663534,666241,348380.0,0.0,0.0,348380.0,2022-02-01
730630,Canada,"Ogdensburg, NY",2022,February,0,6840,1722990,1729830,705504.0,0.0,0.0,705504.0,2022-02-01
730630,Canada,"Pembina, ND",2022,February,0,12124,1958714,1970838,1009503.0,0.0,0.0,1009503.0,2022-02-01
730630,Canada,"Seattle, WA",2022,February,0,153,107500,107653,60910.0,0.0,0.0,60910.0,2022-02-01
730630,Canada,"St. Albans, VT",2022,February,0,6776,1712001,1718777,671063.0,0.0,0.0,671063.0,2022-02-01
730630,Canada,"Buffalo, NY",2022,March,0,59607,5365885,5425492,2795890.0,0.0,0.0,2795890.0,2022-03-01
730630,Canada,"Cleveland, OH",2022,March,0,200,5250,5450,748.0,0.0,0.0,748.0,2022-03-01
730630,Canada,"Detroit, MI",2022,March,0,313756,23839741,24153497,11658117.0,0.0,0.0,11658117.0,2022-03-01
730630,Canada,"Great Falls, MT",2022,March,0,12793,1197082,1209875,767406.0,0.0,0.0,767406.0,2022-03-01
730630,Canada,"Ogdensburg, NY",2022,March,0,14333,3405982,3420315,1534327.0,0.0,0.0,1534327.0,2022-03-01
730630,Canada,"Pembina, ND",2022,March,0,8215,2026425,2034640,930088.0,0.0,0.0,930088.0,2022-03-01
