HTS Number,Country,District,Year,Quantity Description,Measure,Unit,Month,Value
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"249,649"
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"17,172"
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"24,496"
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"266,552"
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Brazil,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"195,733"
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"810,550"
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Brazil,"Houston-Galveston, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"103,324"
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"115,010"
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Brazil,"Los Angeles, CA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"148,052"
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Brazil,"Miami, FL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"121,127"
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Brazil,"New York, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"213,065"
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Brazil,"Nogales, AZ",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"102,370"
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Brazil,"Norfolk, VA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
