country,date,shipments
brazil,Jan 2015,7
brazil,Feb 2015,2
brazil,Mar 2015,3
brazil,Apr 2015,2
brazil,May 2015,3
brazil,Jun 2015,5
brazil,Jul 2015,14
brazil,Aug 2015,1
brazil,Sep 2015,1
brazil,Oct 2015,2
brazil,Nov 2015,3
brazil,Dec 2015,2
brazil,Feb 2016,2
brazil,Mar 2016,4
brazil,Apr 2016,4
brazil,May 2016,4
brazil,Jun 2016,2
brazil,Jul 2016,3
brazil,Aug 2016,5
brazil,Sep 2016,2
brazil,Oct 2016,5
brazil,Nov 2016,3
brazil,Dec 2016,3
brazil,Jan 2017,3
brazil,Feb 2017,2
brazil,Mar 2017,1
brazil,Apr 2017,1
brazil,May 2017,5
brazil,Jun 2017,6
brazil,Jul 2017,10
brazil,Aug 2017,4
brazil,Sep 2017,7
brazil,Oct 2017,5
brazil,Nov 2017,5
brazil,Dec 2017,9
brazil,Jan 2018,4
brazil,Feb 2018,5
brazil,Mar 2018,2
brazil,Apr 2018,3
brazil,May 2018,2
brazil,Jun 2018,3
brazil,Jul 2018,4
brazil,Aug 2018,2
brazil,Oct 2018,3
brazil,Nov 2018,1
brazil,Dec 2018,1
brazil,Jan 2019,9
brazil,Feb 2019,4
brazil,Mar 2019,4
brazil,Apr 2019,3
brazil,May 2019,3
brazil,Jun 2019,4
brazil,Jul 2019,4
brazil,Aug 2019,4
brazil,Sep 2019,5
brazil,Oct 2019,2
brazil,Nov 2019,1
brazil,Dec 2019,2
brazil,Jan 2020,2
brazil,Mar 2020,5
brazil,Apr 2020,1
brazil,May 2020,2
brazil,Jun 2020,5
brazil,Jul 2020,4
brazil,Aug 2020,2
brazil,Sep 2020,4
brazil,Oct 2020,3
brazil,Nov 2020,3
brazil,Dec 2020,4
brazil,Jan 2021,5
brazil,Feb 2021,1
brazil,Mar 2021,4
brazil,Apr 2021,1
brazil,May 2021,2
brazil,Jun 2021,2
brazil,Jul 2021,1
brazil,Aug 2021,4
brazil,Sep 2021,4
brazil,Oct 2021,2
brazil,Nov 2021,6
brazil,Dec 2021,6
brazil,Feb 2022,14
brazil,Mar 2022,15
brazil,Apr 2022,6
brazil,May 2022,9
brazil,Jun 2022,18
brazil,Jul 2022,1
brazil,Sep 2022,2
brazil,Oct 2022,4
brazil,Jan 2023,1
brazil,Mar 2023,2
brazil,May 2023,1
brazil,Jun 2023,1
brazil,Jan 2024,2
brazil,May 2024,1
brazil,Jun 2024,3
brazil,Aug 2024,1
brazil,Dec 2024,2
brazil,May 2025,1
brazil,Jun 2025,2
brazil,Jun 2026,3
brazil,Jul 2026,1
canada,Jan 2015,2
canada,Feb 2015,1
canada,Mar 2015,4
canada,Apr 2015,1
canada,May 2015,1
canada,Nov 2015,1
canada,Feb 2016,2
canada,May 2016,1
canada,Jun 2016,1
canada,Jul 2016,1
canada,Oct 2016,1
canada,Nov 2016,3
canada,Dec 2016,1
canada,Feb 2017,2
canada,Mar 2017,1
canada,Apr 2017,1
canada,May 2017,1
canada,Jul 2017,1
canada,Aug 2017,1
canada,Oct 2017,1
canada,Nov 2017,2
canada,Feb 2018,2
canada,Jul 2018,3
canada,Aug 2018,2
canada,Sep 2018,1
canada,Jan 2019,1
canada,Apr 2019,1
canada,Nov 2019,1
canada,Jan 2020,2
canada,Feb 2020,1
canada,Mar 2020,1
canada,May 2020,3
canada,Sep 2020,3
canada,Oct 2020,1
canada,Nov 2020,2
canada,Dec 2020,2
canada,Feb 2021,1
canada,Mar 2021,3
canada,Apr 2021,4
canada,May 2021,1
canada,Jun 2021,2
canada,Jul 2021,1
canada,Aug 2021,1
canada,Nov 2021,1
canada,Jan 2022,1
canada,Mar 2022,1
canada,Nov 2022,1
canada,Dec 2022,1
canada,Jan 2023,3
canada,Mar 2023,4
canada,Oct 2023,2
canada,Nov 2023,1
canada,Jan 2024,1
canada,May 2024,1
canada,Jun 2024,2
canada,Jul 2024,1
canada,Aug 2025,1
canada,Sep 2025,2
canada,Nov 2025,1
canada,Jan 2026,1
canada,Feb 2026,1
canada,May 2026,3
mexico,Jan 2015,15
mexico,Feb 2015,8
mexico,Mar 2015,2
mexico,Apr 2015,1
mexico,May 2015,3
mexico,Jun 2015,2
mexico,Jul 2015,5
mexico,Aug 2015,3
mexico,Sep 2015,2
mexico,Oct 2015,1
mexico,Dec 2015,3
mexico,Jan 2016,2
mexico,Feb 2016,3
mexico,Mar 2016,1
mexico,Apr 2016,2
mexico,May 2016,3
mexico,Aug 2016,8
mexico,Sep 2016,4
mexico,Oct 2016,4
mexico,Nov 2016,8
mexico,Dec 2016,6
mexico,Jan 2017,1
mexico,Feb 2017,1
mexico,Mar 2017,3
mexico,Apr 2017,1
mexico,Jun 2017,6
mexico,Jul 2017,1
mexico,Aug 2017,1
mexico,Sep 2017,3
mexico,Oct 2017,3
mexico,Nov 2017,1
mexico,Dec 2017,1
mexico,Jan 2018,1
mexico,Feb 2018,3
mexico,Mar 2018,1
mexico,May 2018,1
mexico,Jun 2018,19
mexico,Jul 2018,2
mexico,Aug 2018,2
mexico,Sep 2018,4
mexico,Oct 2018,22
mexico,Nov 2018,1
