name,date,shipments,country
Nachi Brasil,Jan 2015,2,brazil
Nachi Brasil,Jul 2015,3,brazil
Nachi Brasil,Jul 2016,2,brazil
Nachi Brasil,Jan 2017,1,brazil
Nachi Brasil,Jul 2017,1,brazil
Nachi Brasil,Oct 2017,2,brazil
Nachi Brasil,Jan 2018,2,brazil
Nachi Brasil,Apr 2018,3,brazil
Nachi Brasil,Jul 2018,6,brazil
Nachi Brasil,Oct 2018,3,brazil
Nachi Brasil,Jan 2019,4,brazil
Nachi Brasil,Apr 2019,7,brazil
Nachi Brasil,Jul 2019,8,brazil
Nachi Brasil,Oct 2019,6,brazil
Nachi Brasil,Jan 2020,2,brazil
Nachi Brasil,Apr 2020,4,brazil
Nachi Brasil,Jul 2020,1,brazil
Nachi Brasil,Oct 2020,4,brazil
Nachi Brasil,Jan 2021,6,brazil
Nachi Brasil,Apr 2021,3,brazil
Nachi Brasil,Jul 2021,2,brazil
Nachi Brasil,Oct 2021,1,brazil
Nachi Brasil,Jan 2022,2,brazil
Nachi Brasil,Apr 2022,5,brazil
Nachi Brasil,Jul 2022,4,brazil
Nachi Brasil,Oct 2022,2,brazil
Nachi Brasil,Jan 2023,1,brazil
Nachi Brasil,Apr 2023,3,brazil
Nachi Brasil,Jul 2023,5,brazil
Nachi Brasil,Oct 2023,4,brazil
Nachi Brasil,Jan 2024,3,brazil
Nachi Brasil,Apr 2024,2,brazil
Nachi Brasil,Jul 2024,5,brazil
Nachi Brasil,Jan 2025,1,brazil
Nachi Brasil,Apr 2025,1,brazil
Nachi Brasil,Jul 2025,2,brazil
Nachi Brasil,Oct 2025,1,brazil
Nachi Brasil,Jan 2026,1,brazil
Timken South Africa,Jul 2015,2,brazil
Timken South Africa,Oct 2015,1,brazil
Timken South Africa,Jan 2016,1,brazil
Timken South Africa,Apr 2016,2,brazil
Timken South Africa,Oct 2016,1,brazil
Timken South Africa,Apr 2017,1,brazil
Timken South Africa,Jul 2017,1,brazil
Timken South Africa,Jan 2018,1,brazil
Timken South Africa,Jul 2018,1,brazil
Timken South Africa,Oct 2018,1,brazil
Timken South Africa,Apr 2019,3,brazil
Timken South Africa,Jan 2020,4,brazil
Timken South Africa,Apr 2020,1,brazil
Timken South Africa,Jul 2020,1,brazil
Timken South Africa,Oct 2021,2,brazil
Timken South Africa,Apr 2023,3,brazil
Timken South Africa,Jan 2024,1,brazil
Timken South Africa,Apr 2024,2,brazil
Timken South Africa,Jul 2024,1,brazil
Timken South Africa,Oct 2024,1,brazil
Frm Fundicao E Pecas,Jan 2015,3,brazil
Frm Fundicao E Pecas,Apr 2015,3,brazil
Frm Fundicao E Pecas,Jul 2015,2,brazil
Frm Fundicao E Pecas,Oct 2015,1,brazil
Frm Fundicao E Pecas,Jan 2016,1,brazil
Frm Fundicao E Pecas,Jan 2017,2,brazil
Frm Fundicao E Pecas,Apr 2017,1,brazil
Frm Fundicao E Pecas,Jul 2019,1,brazil
Frm Fundicao E Pecas,Oct 2019,1,brazil
Frm Fundicao E Pecas,Jan 2020,2,brazil
Frm Fundicao E Pecas,Jul 2020,1,brazil
Frm Fundicao E Pecas,Oct 2020,2,brazil
Frm Fundicao E Pecas,Apr 2021,3,brazil
Frm Fundicao E Pecas,Jul 2021,3,brazil
Frm Fundicao E Pecas,Oct 2021,1,brazil
G Paniz Industria De Equipamentos,Jan 2019,1,brazil
G Paniz Industria De Equipamentos,Apr 2020,2,brazil
G Paniz Industria De Equipamentos,Oct 2020,4,brazil
G Paniz Industria De Equipamentos,Apr 2021,1,brazil
G Paniz Industria De Equipamentos,Jul 2021,2,brazil
G Paniz Industria De Equipamentos,Oct 2021,1,brazil
G Paniz Industria De Equipamentos,Apr 2022,1,brazil
G Paniz Industria De Equipamentos,Jan 2023,1,brazil
G Paniz Industria De Equipamentos,Jul 2023,1,brazil
G Paniz Industria De Equipamentos,Apr 2024,2,brazil
G Paniz Industria De Equipamentos,Jul 2024,2,brazil
G Paniz Industria De Equipamentos,Oct 2024,1,brazil
G Paniz Industria De Equipamentos,Jan 2025,1,brazil
Dedini Industria De Base,Jan 2015,2,brazil
Dedini Industria De Base,Oct 2016,1,brazil
Dedini Industria De Base,Apr 2019,1,brazil
Dedini Industria De Base,Oct 2019,1,brazil
Dedini Industria De Base,Apr 2020,1,brazil
Dedini Industria De Base,Jul 2021,1,brazil
Federal Mogul Valves,Apr 2021,1,brazil
Federal Mogul Valves,Jul 2021,1,brazil
Federal Mogul Valves,Oct 2021,2,brazil
Federal Mogul Valves,Apr 2022,1,brazil
Timken Do Brasil Comercial,Oct 2024,2,brazil
Timken Do Brasil Comercial,Apr 2025,2,brazil
Caterpillar Brasil,Jan 2015,2,brazil
Caterpillar Brasil,Apr 2015,1,brazil
Caterpillar Brasil,Jul 2015,1,brazil
Transmissao Rolamentos,Oct 2021,1,brazil
Transmissao Rolamentos,Jan 2022,1,brazil
Transmissao Rolamentos,Jul 2022,1,brazil
Simex Exportadora E Importadora,Apr 2018,1,brazil
Simex Exportadora E Importadora,Oct 2019,1,brazil
Simex Exportadora E Importadora,Jan 2020,1,brazil
Snr Rolamentos Do Brasil,Jan 2018,2,brazil
Snr Rolamentos Do Brasil,Oct 2018,1,brazil
Thordon Bearings,Jan 2015,1,canada
Thordon Bearings,Jul 2015,1,canada
Thordon Bearings,Jan 2016,1,canada
Thordon Bearings,Apr 2016,1,canada
Thordon Bearings,Jul 2017,1,canada
Thordon Bearings,Jan 2018,1,canada
Thordon Bearings,Apr 2018,6,canada
Thordon Bearings,Jul 2018,3,canada
Thordon Bearings,Jul 2020,2,canada
Thordon Bearings,Jan 2021,7,canada
Thordon Bearings,Apr 2023,1,canada
Ntn,Jan 2015,2,canada
Ntn,Apr 2015,1,canada
Ntn,Oct 2015,1,canada
Ntn,Jan 2016,1,canada
Ntn,Oct 2016,1,canada
Ntn,Jan 2017,1,canada
Ntn,Oct 2017,2,canada
Ntn,Jul 2018,1,canada
Ntn,Apr 2020,1,canada
Ntn,Oct 2021,1,canada
Ntn,Oct 2022,1,canada
Ntn,Apr 2024,1,canada
Ntn,Jul 2025,1,canada
Ntn,Oct 2025,1,canada
Ntn Bearing Of Canada,Jan 2015,1,canada
Ntn Bearing Of Canada,Jul 2017,2,canada
Ntn Bearing Of Canada,Apr 2019,1,canada
Ntn Bearing Of Canada,Oct 2019,2,canada
Ntn Bearing Of Canada,Apr 2023,2,canada
Metrobec,Jul 2017,2,canada
Metrobec,Oct 2017,2,canada
Jtekt Bearings Romania S A,Apr 2026,2,canada
Redpath Raiseboring,Oct 2023,2,canada
Trade Link International,Jan 2022,1,canada
Trade Link International,Jul 2022,1,canada
Ntn Bearing Manifacturing,Oct 2019,1,canada
Ntn Bearing Manifacturing,Apr 2020,1,canada
Lms,Oct 2019,1,canada
Lms,Jan 2020,1,canada
Taizhou Kingsun Machinery,Jan 2017,1,canada
Taizhou Kingsun Machinery,Jan 2020,1,canada
International Bearings,Apr 2015,1,canada
International Bearings,Jul 2015,1,canada
James Ross,Apr 2015,2,canada
Koyo Canada,Jan 2015,1,canada
Koyo Canada,Apr 2015,1,canada
Liebherr Monterrey S De R L De C,Jan 2015,14,mexico
Liebherr Monterrey S De R L De C,Apr 2015,11,mexico
Liebherr Monterrey S De R L De C,Jul 2015,9,mexico
Liebherr Monterrey S De R L De C,Oct 2015,8,mexico
Liebherr Monterrey S De R L De C,Jan 2016,8,mexico
Liebherr Monterrey S De R L De C,Apr 2016,1,mexico
Liebherr Monterrey S De R L De C,Jul 2016,3,mexico
Liebherr Monterrey S De R L De C,Oct 2016,7,mexico
Liebherr Monterrey S De R L De C,Jan 2017,14,mexico
Liebherr Monterrey S De R L De C,Apr 2017,6,mexico
Liebherr Monterrey S De R L De C,Jul 2017,4,mexico
Liebherr Monterrey S De R L De C,Oct 2017,6,mexico
Liebherr Monterrey S De R L De C,Jan 2018,2,mexico
Liebherr Monterrey S De R L De C,Apr 2018,15,mexico
Liebherr Monterrey S De R L De C,Jul 2018,18,mexico
Liebherr Monterrey S De R L De C,Oct 2018,11,mexico
Liebherr Monterrey S De R L De C,Jan 2019,14,mexico
Liebherr Monterrey S De R L De C,Apr 2019,8,mexico
Liebherr Monterrey S De R L De C,Jul 2019,5,mexico
Liebherr Monterrey S De R L De C,Oct 2019,12,mexico
Liebherr Monterrey S De R L De C,Jan 2020,7,mexico
Liebherr Monterrey S De R L De C,Apr 2020,2,mexico
Liebherr Monterrey S De R L De C,Jul 2020,2,mexico
Liebherr Monterrey S De R L De C,Oct 2020,7,mexico
Liebherr Monterrey S De R L De C,Jan 2021,6,mexico
Liebherr Monterrey S De R L De C,Apr 2021,6,mexico
Liebherr Monterrey S De R L De C,Jul 2021,5,mexico
Liebherr Monterrey S De R L De C,Oct 2021,5,mexico
Liebherr Monterrey S De R L De C,Jan 2022,5,mexico
Liebherr Monterrey S De R L De C,Apr 2022,9,mexico
Liebherr Monterrey S De R L De C,Jul 2022,4,mexico
Liebherr Monterrey S De R L De C,Oct 2022,1,mexico
Liebherr Monterrey S De R L De C,Jan 2023,1,mexico
Liebherr Monterrey S De R L De C,Apr 2023,4,mexico
Liebherr Monterrey S De R L De C,Jul 2023,10,mexico
Liebherr Monterrey S De R L De C,Oct 2023,16,mexico
Liebherr Monterrey S De R L De C,Jan 2024,4,mexico
Liebherr Monterrey S De R L De C,Apr 2024,2,mexico
Liebherr Monterrey S De R L De C,Jul 2024,7,mexico
Liebherr Monterrey S De R L De C,Oct 2024,3,mexico
Liebherr Monterrey S De R L De C,Jul 2025,2,mexico
Liebherr Monterrey S De R L De C,Oct 2025,2,mexico
Liebherr Monterrey S De R L De C,Jan 2026,2,mexico
Liebherr Monterrey S De R L De C,Apr 2026,1,mexico
Jas Agent For Blue World Line,Jul 2018,11,mexico
Jas Agent For Blue World Line,Oct 2018,5,mexico
Jas Agent For Blue World Line,Jan 2019,12,mexico
Jas Agent For Blue World Line,Apr 2019,23,mexico
Jas Agent For Blue World Line,Jul 2019,24,mexico
Jas Agent For Blue World Line,Oct 2019,11,mexico
Jas Agent For Blue World Line,Jan 2020,15,mexico
Jas Agent For Blue World Line,Apr 2020,6,mexico
Jas Agent For Blue World Line,Jul 2020,29,mexico
Jas Agent For Blue World Line,Oct 2020,20,mexico
Jas Agent For Blue World Line,Jan 2021,6,mexico
Jas Agent For Blue World Line,Apr 2021,16,mexico
Jas Agent For Blue World Line,Jul 2021,9,mexico
Jas Agent For Blue World Line,Oct 2021,9,mexico
Jas Agent For Blue World Line,Jul 2022,3,mexico
Jas Agent For Blue World Line,Oct 2022,5,mexico
Woco De Mexico De,Oct 2019,1,mexico
Woco De Mexico De,Jan 2020,5,mexico
Woco De Mexico De,Apr 2020,1,mexico
Woco De Mexico De,Jul 2020,8,mexico
Woco De Mexico De,Oct 2020,7,mexico
Woco De Mexico De,Jan 2021,12,mexico
Woco De Mexico De,Apr 2021,11,mexico
Woco De Mexico De,Jul 2021,8,mexico
Woco De Mexico De,Oct 2021,5,mexico
Woco De Mexico De,Jan 2022,8,mexico
Woco De Mexico De,Apr 2022,8,mexico
Woco De Mexico De,Jul 2022,1,mexico
Jtekt Latin America S A,Jul 2023,1,mexico
Jtekt Latin America S A,Oct 2023,9,mexico
Jtekt Latin America S A,Jan 2024,9,mexico
Jtekt Latin America S A,Apr 2024,7,mexico
Jtekt Latin America S A,Jul 2024,7,mexico
Jtekt Latin America S A,Oct 2024,2,mexico
Jtekt Latin America S A,Apr 2025,11,mexico
Jtekt Latin America S A,Oct 2025,6,mexico
Jtekt Latin America S A,Jan 2026,4,mexico
Ntn Sudamericana S A,Jul 2016,1,mexico
Ntn Sudamericana S A,Jan 2017,1,mexico
Ntn Sudamericana S A,Jul 2017,2,mexico
Ntn Sudamericana S A,Oct 2017,1,mexico
Ntn Sudamericana S A,Jan 2018,1,mexico
Ntn Sudamericana S A,Oct 2018,1,mexico
Ntn Sudamericana S A,Oct 2019,1,mexico
Ntn Sudamericana S A,Jan 2020,1,mexico
Ntn Sudamericana S A,Apr 2020,4,mexico
Ntn Sudamericana S A,Jul 2020,3,mexico
Ntn Sudamericana S A,Jan 2021,1,mexico
Ntn Sudamericana S A,Apr 2021,1,mexico
Ntn Sudamericana S A,Jul 2021,1,mexico
Ntn Sudamericana S A,Apr 2023,1,mexico
Ntn Sudamericana S A,Jul 2023,2,mexico
Ntn Sudamericana S A,Oct 2023,8,mexico
Ntn Sudamericana S A,Jan 2024,4,mexico
Ntn Sudamericana S A,Apr 2024,1,mexico
Ntn Sudamericana S A,Oct 2025,3,mexico
Ntn Sudamericana S A,Jan 2026,1,mexico
Ntn Sudamericana S A,Apr 2026,1,mexico
Koyo Latin America S A,Oct 2015,1,mexico
Koyo Latin America S A,Jul 2016,1,mexico
Koyo Latin America S A,Oct 2016,1,mexico
Koyo Latin America S A,Oct 2017,3,mexico
Koyo Latin America S A,Jul 2018,2,mexico
Koyo Latin America S A,Jul 2019,3,mexico
Koyo Latin America S A,Oct 2019,1,mexico
Koyo Latin America S A,Jan 2020,1,mexico
Koyo Latin America S A,Jan 2021,1,mexico
Koyo Latin America S A,Jul 2021,3,mexico
Koyo Latin America S A,Oct 2021,4,mexico
Koyo Latin America S A,Jul 2022,1,mexico
Koyo Latin America S A,Apr 2023,1,mexico
Koyo Latin America S A,Jul 2023,6,mexico
Woco Tech De Mexico De,Jul 2019,2,mexico
Woco Tech De Mexico De,Oct 2019,9,mexico
Woco Tech De Mexico De,Jan 2020,3,mexico
Woco Tech De Mexico De,Apr 2020,1,mexico
Woco Tech De Mexico De,Jul 2020,1,mexico
Woco Tech De Mexico De,Oct 2020,3,mexico
Woco Tech De Mexico De,Jan 2021,2,mexico
Woco Tech De Mexico De,Apr 2021,1,mexico
Woco Tech De Mexico De,Jul 2021,2,mexico
Jas An Agent Of Blue Worldline,Jul 2021,6,mexico
Jas An Agent Of Blue Worldline,Jan 2022,12,mexico
Jas An Agent Of Blue Worldline,Apr 2022,1,mexico
Timken De Mexico De,Apr 2015,1,mexico
Timken De Mexico De,Apr 2020,1,mexico
Timken De Mexico De,Jan 2021,1,mexico
Timken De Mexico De,Apr 2021,4,mexico
Timken De Mexico De,Jul 2021,3,mexico
Timken De Mexico De,Oct 2021,1,mexico
Timken De Mexico De,Jan 2025,1,mexico
Timken De Mexico S A De C V,Oct 2016,1,mexico
Timken De Mexico S A De C V,Jan 2017,1,mexico
Timken De Mexico S A De C V,Apr 2017,5,mexico
Timken De Mexico S A De C V,Jul 2017,1,mexico
Timken De Mexico S A De C V,Oct 2017,1,mexico
Timken De Mexico S A De C V,Jul 2018,1,mexico
International Multimodal Shipments,Jan 2016,1,mexico
International Multimodal Shipments,Apr 2016,2,mexico
International Multimodal Shipments,Jul 2016,3,mexico
International Multimodal Shipments,Oct 2016,2,mexico
International Multimodal Shipments,Jan 2017,2,mexico
National Engineering Industries,Jan 2015,51,india
National Engineering Industries,Apr 2015,64,india
National Engineering Industries,Jul 2015,86,india
National Engineering Industries,Oct 2015,33,india
National Engineering Industries,Jan 2016,17,india
National Engineering Industries,Apr 2016,22,india
National Engineering Industries,Jul 2016,4,india
National Engineering Industries,Oct 2016,7,india
National Engineering Industries,Jan 2017,11,india
National Engineering Industries,Apr 2017,11,india
National Engineering Industries,Jul 2017,12,india
National Engineering Industries,Oct 2017,20,india
National Engineering Industries,Jan 2018,15,india
National Engineering Industries,Apr 2018,11,india
National Engineering Industries,Jul 2018,1,india
National Engineering Industries,Oct 2018,14,india
National Engineering Industries,Jan 2019,29,india
National Engineering Industries,Apr 2019,14,india
National Engineering Industries,Jul 2019,16,india
National Engineering Industries,Oct 2019,11,india
National Engineering Industries,Jan 2020,4,india
National Engineering Industries,Apr 2020,3,india
National Engineering Industries,Jul 2020,4,india
National Engineering Industries,Oct 2020,1,india
National Engineering Industries,Jan 2021,3,india
National Engineering Industries,Apr 2021,3,india
National Engineering Industries,Jul 2021,8,india
National Engineering Industries,Oct 2021,6,india
National Engineering Industries,Jan 2022,3,india
National Engineering Industries,Apr 2022,11,india
National Engineering Industries,Jul 2022,19,india
National Engineering Industries,Oct 2022,9,india
National Engineering Industries,Jan 2023,3,india
National Engineering Industries,Apr 2023,5,india
National Engineering Industries,Jul 2023,10,india
National Engineering Industries,Oct 2023,6,india
National Engineering Industries,Jan 2024,11,india
National Engineering Industries,Apr 2024,7,india
National Engineering Industries,Jul 2024,7,india
National Engineering Industries,Oct 2024,9,india
National Engineering Industries,Jan 2025,3,india
National Engineering Industries,Apr 2025,3,india
National Engineering Industries,Jul 2025,7,india
National Engineering Industries,Oct 2025,7,india
National Engineering Industries,Jan 2026,7,india
National Engineering Industries,Apr 2026,1,india
Augusta International,Oct 2018,8,india
Augusta International,Jan 2019,17,india
Augusta International,Apr 2019,11,india
Augusta International,Jul 2019,16,india
Augusta International,Oct 2019,12,india
Augusta International,Jan 2020,10,india
Augusta International,Apr 2020,16,india
Augusta International,Jul 2020,26,india
Augusta International,Oct 2020,14,india
Augusta International,Jan 2021,9,india
Augusta International,Apr 2021,17,india
Augusta International,Jul 2021,22,india
Augusta International,Oct 2021,13,india
Augusta International,Jan 2022,27,india
Augusta International,Apr 2022,48,india
Augusta International,Jul 2022,23,india
Augusta International,Oct 2022,13,india
Nrb Bearings,Jan 2015,3,india
Nrb Bearings,Apr 2015,2,india
Nrb Bearings,Jul 2015,7,india
Nrb Bearings,Oct 2015,3,india
Nrb Bearings,Jan 2016,3,india
Nrb Bearings,Jul 2016,3,india
Nrb Bearings,Oct 2016,2,india
Nrb Bearings,Jan 2017,3,india
Nrb Bearings,Apr 2017,3,india
Nrb Bearings,Jul 2017,2,india
Nrb Bearings,Oct 2017,4,india
Nrb Bearings,Jan 2018,3,india
Nrb Bearings,Apr 2018,1,india
Nrb Bearings,Jul 2018,8,india
Nrb Bearings,Oct 2018,6,india
Nrb Bearings,Jan 2019,1,india
Nrb Bearings,Jan 2020,1,india
Nrb Bearings,Oct 2020,1,india
Nrb Bearings,Jul 2021,1,india
Nrb Bearings,Oct 2021,4,india
Nrb Bearings,Jan 2022,9,india
Nrb Bearings,Apr 2022,2,india
Nrb Bearings,Jul 2022,1,india
Nrb Bearings,Oct 2022,2,india
Nrb Bearings,Jan 2023,10,india
Nrb Bearings,Apr 2023,24,india
Nrb Bearings,Jul 2023,20,india
Nrb Bearings,Oct 2023,18,india
Nrb Bearings,Jan 2024,14,india
Nrb Bearings,Apr 2024,11,india
Nrb Bearings,Jul 2024,1,india
Nrb Bearings,Oct 2024,3,india
Nrb Bearings,Jul 2025,1,india
Nrb Bearings,Oct 2025,5,india
Nrb Bearings,Jan 2026,19,india
Nrb Bearings,Apr 2026,18,india
Nrb Bearings,Jul 2026,5,india
Agrasen Engineering Industries Priv,Jul 2021,7,india
Agrasen Engineering Industries Priv,Oct 2021,7,india
Agrasen Engineering Industries Priv,Jan 2022,5,india
Agrasen Engineering Industries Priv,Apr 2022,1,india
Agrasen Engineering Industries Priv,Oct 2023,16,india
Agrasen Engineering Industries Priv,Jan 2024,21,india
Agrasen Engineering Industries Priv,Apr 2024,44,india
Agrasen Engineering Industries Priv,Jul 2024,10,india
Agrasen Engineering Industries Priv,Oct 2024,4,india
Agrasen Engineering Industries Priv,Jan 2025,2,india
Agrasen Engineering Industries Priv,Apr 2025,2,india
Agrasen Engineering Industries Priv,Jul 2025,4,india
Agrasen Engineering Industries Priv,Oct 2025,8,india
Agrasen Engineering Industries Priv,Jan 2026,30,india
Agrasen Engineering Industries Priv,Apr 2026,25,india
Agrasen Engineering Industries Priv,Jul 2026,2,india
Rane Madras,Jul 2015,1,india
Rane Madras,Oct 2015,6,india
Rane Madras,Jan 2016,10,india
Rane Madras,Apr 2016,11,india
Rane Madras,Jul 2016,10,india
Rane Madras,Oct 2016,10,india
Rane Madras,Jan 2017,12,india
Rane Madras,Apr 2017,7,india
Rane Madras,Jul 2017,14,india
Rane Madras,Oct 2017,14,india
Rane Madras,Jan 2018,6,india
Rane Madras,Apr 2018,2,india
Rane Madras,Jul 2018,4,india
Rane Madras,Apr 2019,1,india
Rane Madras,Jul 2019,2,india
