name,city,country,shipments (01/2015 - 08/2026)
Apolo Tubulars S/A,Novo Horizonte,Brazil,73
Tuper S A,,Brazil,56
Arvedi Metalfer Do Brasil,Oliveira,Brazil,33
Damco Logistics Brasil,Gonzaga,Brazil,20
Aperam Inox Tubos Brasil,Ribeirao Pires,Brazil,18
Stemcor Usa,,Brazil,14
Monteferro America Latina,Cotia,Brazil,13
Marcegaglia Do Brasil,Garuva,Brazil,13
Tuper,Sao Bento,Brazil,12
Apolo Tubulars International,Novo Horizonte,Brazil,11
Tuper Tog,Sao Bento,Brazil,8
Ehc Brazil,Cambe,Brazil,8
Vallourec Solucoes Tubulares,Horizonte,Brazil,6
Metalurgica Golin S A,Guarulhos,Brazil,6
Apolo Tubulars Sn,Novo Horizonte,Brazil,6
Access Global Logistics,,Brazil,6
Tuper Avenida Prefeito Ornith,Sao Bento,Brazil,4
Schenker Do Brasil Transportes Inte,Sales,Brazil,4
Gerdau Acos Especiais S A,,Brazil,4
Vibrant Steel,,Canada,24
Arcelormittal Prod Research,,Canada,14
Princess Cruises,,Canada,13
Boart Longyear,Ward 7,Canada,9
Farinart,,Canada,8
Chemetics,St. Clements,Canada,7
Trade Link International,Ontario,Canada,7
Arcelormittal Bremen,,Canada,7
Imperial Steel Products,Manitoba,Canada,6
Awot Global Logistics Canada,,Canada,6
Fischer Canada Stainless Steel Tubi,Waterloo,Canada,6
Major Drilling Group International,Chateauguay,Canada,5
Shoreline Aggregates,Ward 7,Canada,5
Dhl Global Forwarding China,,Canada,5
Arzon,Ontario,Canada,5
Rdl Recycling,Abbotsford,Canada,5
A Hartrodt Canada,,Canada,4
Caledon Tubing,James,Canada,3
Oil Lift Technology,Calgary,Canada,3
Tubos De Acero De Mexico,Veracruz,Mexico,248
Samuel Son Mexico De,Morelos,Mexico,75
Metal One De Mexico De,Reforma,Mexico,48
Nnr Global Logistics Mexico S A De,Miguel Hidalgo,Mexico,42
Fischer Mexicana S A De C V,San Luis Potosi,Mexico,41
Samuel Son Mexico S A De,Morelos,Mexico,40
Hellmann Worldwide Logistics,San Pedro Garza Garcia,Mexico,33
Samuel Son Mexico S A De C,Morelos,Mexico,32
Garay Componentes Tubulares De C,,Mexico,29
Metal Melting Supplies,San Rafael,Mexico,23
Mcl Mexico De,Miguel Hidalgo,Mexico,23
Seah Steel,,Mexico,20
Conduit De,Ecatepec de Morelos,Mexico,19
Tubac De,Lazaro Cardenas,Mexico,19
Intercontinental Ick Mex De,Zapopan,Mexico,18
Nnr Global Logistics Mexico S A,Ciudad de Mexico,Mexico,18
Grupo Rubiano Y Trujillo S De R L,Guadalajara,Mexico,17
Apollo Metalex,,Mexico,16
Metalco,,Mexico,16
Tube Investments Of India,Chennai,India,3.040
Goodluck India,Ghaziabad,India,2.028
Goodluck Industries,Bulandshahr,India,1.988
Apollo Metalex,Ghaziabad,India,1.109
Suncity Metals And Tubes Li,Guna,India,665
Sar Transport Systems,Mumbai,India,604
Sun Mark Stainless Survey,State of Gujarat,India,525
Pennar Industries,Medak,India,523
Surya Roshni,Kutch,India,431
Raajratna Ventures,Mahesana,India,424
Shivalik Bimetal Controls,Solan,India,346
Metamorphosis Engitech India Pvt Lt,Pune District,India,287
Dynamic Flow Products,,India,259
Dahnay Logistics,Chennai,India,258
