name,city,country,shipments (01/2015 - 08/2026)
Nachi Brasil,Sao Pedro,Brazil,115
Timken South Africa,,Brazil,31
Frm Fundicao E Pecas,Campo Largo,Brazil,27
G Paniz Industria De Equipamentos,Caxias Do Sul,Brazil,20
Dedini Industria De Base,,Brazil,7
Federal Mogul Valves,,Brazil,5
Timken Do Brasil Comercial,Dona Francisca,Brazil,4
Caterpillar Brasil,Queiroz,Brazil,4
Transmissao Rolamentos,Mooca,Brazil,3
Simex Exportadora E Importadora,,Brazil,3
Snr Rolamentos Do Brasil,,Brazil,3
Thordon Bearings,Ontario,Canada,25
Ntn,Kitimat,Canada,16
Ntn Bearing Of Canada,Ontario,Canada,8
Metrobec,Saint-Hubert-de-Riviere-du-Loup,Canada,4
Jtekt Bearings Romania S A,,Canada,2
Redpath Raiseboring,,Canada,2
Trade Link International,,Canada,2
Ntn Bearing Manifacturing,Kitimat,Canada,2
Lms,,Canada,2
Taizhou Kingsun Machinery,,Canada,2
International Bearings,,Canada,2
James Ross,,Canada,2
Koyo Canada,,Canada,2
Liebherr Monterrey S De R L De C,Monterrey,Mexico,289
Jas Agent For Blue World Line,,Mexico,204
Woco De Mexico De,,Mexico,75
Jtekt Latin America S A,,Mexico,56
Ntn Sudamericana S A,Colon,Mexico,40
Koyo Latin America S A,Colon,Mexico,29
Woco Tech De Mexico De,,Mexico,24
Jas An Agent Of Blue Worldline,,Mexico,19
Timken De Mexico De,Cuautitlan Izcalli,Mexico,12
Timken De Mexico S A De C V,San Miguel de Allende,Mexico,10
International Multimodal Shipments,,Mexico,10
National Engineering Industries,,India,609
Augusta International,Ahmadabad,India,302
Nrb Bearings,Mumbai,India,224
Agrasen Engineering Industries Priv,Jaipur,India,188
Rane Madras,Chennai,India,182
Austin Engineering,Junagadh,India,174
Texspin Bearings,Ahmadabad,India,154
Excellent Engineering,Vadodara,India,120
Nachi Technology India,,India,102
Delux Bearings,Surendranagar,India,85
Delux Bearings Plant,Surendranagar,India,67
Max Precision Bearings,Junagadh,India,60
Precision Bearings,Ahmadabad,India,60
Timken Engineering And Research,,India,54
