hts,country,name,escala,tendencia,liveness_tri,score
730630,india,Tube Investments Of India,106.5,1.6259541984732824,0,173.16412213740458
730630,india,Goodluck Industries,113.25,1.0734597156398105,0,121.56931279620854
730630,india,Metamorphosis Engitech India Pvt Lt,20.25,1.3728813559322033,0,27.800847457627118
730630,mexico,Automotive Bend De Mexico S De R,1.75,3.5,1,6.125
730630,mexico,Intercontinental Ick Mex De,2.5,2.0,1,5.0
730630,brazil,Vallourec Solu Es Tubulares Do Bra,0.75,,1,0.75
730630,canada,Tube Investments Of India,0.5,,1,0.5
730630,mexico,Garay Componentes Tubulares De C,0.75,0.5,0,0.375
848210,india,Nrb Bearings,11.75,11.75,0,138.0625
848210,india,Agrasen Engineering Industries Priv,16.25,5.416666666666667,0,88.02083333333334
848210,india,Nachi Technology India,3.25,0.8666666666666667,0,2.816666666666667
848210,mexico,Jtekt Latin America S A,2.5,0.7692307692307693,2,1.9230769230769231
848210,mexico,Ntn Sudamericana S A,1.25,,1,1.25
848210,mexico,Liebherr Monterrey S De R L De C,1.25,1.0,1,1.25
848210,canada,Jtekt Bearings Romania S A,0.5,,1,0.5
848210,brazil,Nachi Brasil,0.5,0.5,2,0.25
