Consignee,Country of Destination,Country of Origin,Date,HS Code,HS Product Description,Notify Party Name,Port of Destination,Port of Origin,Product Description,Quantity,Shipper,Unit,Value $,_row_key,_page,_source_url
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,TRANSFORMER MS TANK AND TRANSFORMER MS TANK PARTS GTC PART NO TGAB CUSTOM WELDED CON STRUCTION A STEEL ITEMS ROUTE TO GAB TA NK COVER GTC PART NO TGAB CUSTOM WELDED CONSTR A STL COVER AND MACHINED ITEM ROUTE TO GAB GTC PART NO TGAB CUSTOM WELD ED CONSTR AISI SSTL ITEMS ROUTE TO GAB GTC PART NO TGAB CUSTOM WELDED CONSTRU CTION A HOT ROLLED W SHAPE ROUTE TO GAB GTC PART NO RAD VALVES VIAT WORK ORD ER<br/>,0,-,,0,26153195266684883,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,7306305010,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:, Other /note: See 9903.88.15 and U.S. note 16 to subchapter III, chapter 99., Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters, whether or not cold drawn",-,,,WELDED COLD DRAWN MECHANICAL CARBON TUBING,30,-,,0,26153195257303386,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PIPE ASM-TRANS FLUID CLR INL & OTLT,12,-,,0,26153195257291988,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PRECISION TUBE,81,-,,0,26153195257194730,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PRECISION TUBE,28,-,,0,26153195257190864,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,ALUMINIUM PROFILES,70,-,,0,26153195256953993,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,GI PIPES,24,-,,0,26153195256953994,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,ALUMINIUM ALLOY EXTRUDED PRODUCTS,23,-,,0,26153195256953995,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION TUBE,79,-,,0,26153195256615519,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PRECISION STEEL TUBES - CDW,25,-,,0,26153195255774862,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"VARIOUS SIZES OF STEEL PIPE.ALL OTHER DETAILED,AS PER SALESORDER AND PO - .,SHIPPING TERMS: INCOTERMS -DDP CYHOUSTON,,TX. USA .LC NO. ILC DATED . .,ISSUED BYCITY NATIONAL BANK,LOS ANGELES,CA,USNET WT. . MTGROSS WT. . MTINCOT,ERM MENTIONED STRICTLY WITHOUT PREJUDICE TOTH",156,-,,0,25153195254812138,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"PREFABRICATED STEEL BUILDING KIT OF PART S FO,R MODULAR STEEL UNITS",266,-,,0,25153195254292100,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PRECISION TUBE (ERW/CEW CARBON TOTAL PACKAGES ONLY (TWENTY NINE PACKAGES ONLY) PRECISION TUBE (ERW/CEW CARBON STEEL MECHANICAL ROUND TUBE) HS CODE HBL NO MUM,29,-,,0,25153195255113910,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,TUBERIA DE ACERO GALVANIZADO,26,-,,0,25153195255108141,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,EMT HOT DIPPED GALVANISED CONDUITS,46,-,,0,25153195253765527,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"PIPE ASM-F/TNK FIL (W/ FIL HOSE),NET WEIGHT .",13,-,,0,25153195253621184,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Canada,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"STEEL OR IRON PIPES & TUBES, WELDED, CIRCULAR,CROSS SECTION (NOT CAST) (UNDER . MM) AND,OTHER, TUBES, PIPES & HOLLOW PROFILES, WELDE,D, OF CIRCULAR CROSS-SECTION, OF IRON OR NO,N-ALLOY STEEL, N.E.S CERS NO (CANADA) P.O.R:,CERS AR",22,-,,0,25153195253674428,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
