Actual Duty,Bill of Lading,Carrier Name,Consignee,Consignee Address,Consignee Country,Consignee Name Native,Container No/ID,Container TEU,Country of Destination,Country of Origin,Date,Freight Term,Gross Weight,HS Code,HS Product Description,Incoterms,Marks Number,Master Bill of Lading,Measurment,Net Weight,No of Packages,Notify Party Address,Notify Party Name,Packages Quantity,Packages Type,Port of Delivery,Port of Destination,Port of Origin,Product Description,Product Description Native,Quantity,Shipment Mode,Shipper,Shipper Address,Shipper Name Native,Source Country,Std. Quantity,Std. Unit,Std. Unit Rate $,Unit,Unit Rate $,Value $,Vessel Name,_row_key,_page,_source_url,district_provavel
,AJIQLIYIN25F1247,,Georgia Transformer Corporation,2789 Hwy 21 S,UNITED STATES,,MSCU4480901,2,United States,India,2026-02-04T00:00:00,-,24254,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",,GEORGIA TRANSFORMER CORP PURCHASE ORDER NO 57,MEDUWP029525,0,24254,,Nebbi Padyere,Deogratis Ofoyrwoth,,,-,Not Available,Not Available,TRANSFORMER MS TANK AND TRANSFORMER MS TANK PARTS GTC PART NO TGAB CUSTOM WELDED CON STRUCTION A STEEL ITEMS ROUTE TO GAB TA NK COVER GTC PART NO TGAB CUSTOM WELDED CONSTR A STL COVER AND MACHINED ITEM ROUTE TO GAB GTC PART NO TGAB CUSTOM WELD ED CONSTR AISI SSTL ITEMS ROUTE TO GAB GTC PART NO TGAB CUSTOM WELDED CONSTRU CTION A HOT ROLLED W SHAPE ROUTE TO GAB GTC PART NO RAD VALVES VIAT WORK ORD ER<br/>,,0,Not Available,MPP Technologies Pvt Ltd,"81, KIADB Industrial Area, 1st Phase Antharasanahalli",,,0,PKG,0.0,PKG,,0,MSC SHANELLE V,26153195266684883,page_1,https://app.volza.com/workspace/search/24846649#Shipments,
,AMYTAGLSP02042,,Sourcing Systems Intl,"6100 219th Street SW, Suite 480 Mountlake Terrace",United States,,KOCU4314011,0,United States,India,2026-02-03T00:00:00,-,19870,7306305010,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:, Other /note: See 9903.88.15 and U.S. note 16 to subchapter III, chapter 99., Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters, whether or not cold drawn",,NO MARKS,HDMUDELM03853600,0,0,,"6100 219th Street SW, Suite 480 Mountlake Terrace",Sourcing Systems Intl,,,-,Savannah,OP India,WELDED COLD DRAWN MECHANICAL CARBON TUBING,,30,Not Available,Good Luck Industries,Sikandrabad Industrial Area,,,30,PKG,0.0,PKG,,0,ONE MARVEL,26153195257303386,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Savannah, GA"
,BWLESSZ59435725,,SKF USA Inc.,9444 Balboa Ave. Suite 150,United States,,SEGU5628241,0,United States,Brazil,2026-02-03T00:00:00,-,556,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,SKF/BRASIL,HLCUSS5251253862,0,0,,9444 Balboa Ave. Suite 150,SKF USA Inc.,,,-,Charleston,OP Brazil,DEEP GROOVE BALL,,4,Not Available,SKF DO Brasil Ltda,"Rod Anhanguera, Km 30",,,4,UNT,0.0,WDC,,0,MAERSK MONTE ALEGRE,26153195257323498,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,HLCUME3QA29041AA,,Uzauto Motor JSC,"81, Humo Street, Asaka",-,,GCXU5302618,0,United States,Mexico,2026-02-02T00:00:00,-,5284,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,".,2170-I,29549",HLCUME3260129041,0,0,,"81, Humo Street, Asaka",Uzauto Motor JSC,,,-,Miami,OP Mexico,PIPE ASM-TRANS FLUID CLR INL & OTLT,,12,Not Available,Mann & Hummel Mexico S.A. de C.V.,Parque Ind. Queretaro Vialidad El Pueblito No. 104 MX,,,12,NOS,0.0,PCS,,0,GSL MARIA,26153195257291988,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Miami, FL"
,CCLLBOMS25127029,,Salem Steel NA LLC,80 Route 4 East Suite 168,United States,,"CAAU5555675,HAMU2178803,UETU6194749",0,United States,India,2026-01-31T00:00:00,-,63790,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,"01-26 PACKAGES,01-27 PACKAGES,01-28 PACKAGES",HLCUBO12512AZFE3,1,0,,80 Route 4 East Suite 168,Salem Steel NA LLC,,,-,Norfolk,JNPT,PRECISION TUBE,,81,Not Available,Metamorphosis Engitech India Pvt Ltd,"Gat No. - 56/3/4, 5 Village Pimple, Jagtap, Taluka Shirur",,,81,PKG,0.0,PKG,,0,TOLTEN,26153195257194730,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Norfolk, VA"
,CCLLBOMS25126948,,Salem Steel NA LLC,80 Route 4 East Suite 168,United States,,BEAU4189760,0,United States,India,2026-01-31T00:00:00,-,21290,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,01-28 PACKAGES,HLCUBO12512AVZX1,0,0,,80 Route 4 East Suite 168,Salem Steel NA LLC,,,-,Norfolk,JNPT,PRECISION TUBE,,28,Not Available,Metamorphosis Engitech India Pvt Ltd,"Gat No. - 56/3/4, 5 Village Pimple, Jagtap, Taluka Shirur",,,28,PKG,0.0,PKG,,0,TOLTEN,26153195257190864,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Norfolk, VA"
,,,HIDROMEK HIDROLIK VE MEKANIK MAKI,AHI EVRAN OSB MH. OSMANLI CD.NO:1 SANKARA 06 06935,MARSHALL ISLANDS,,MSMU7989148,0,United States,Mexico,2026-01-31T00:00:00,-,18480,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,NO MARKS,MEDUXF727291,0,0,,AHI EVRAN OSB MH. OSMANLI CD.NO:1 SANKARA 06 06935,HIDROMEK HIDROLIK VE MEKANIK MAKI,,,-,Houston,OP Mexico,"BALL OR ROLLER BEARINGS - BALL BEARINGS - BAL,L SLEWING RING",,6,Not Available,Liebherr Monterrey S de RL de CV,Carretera Monterrey Garcia,,,6,PKG,0.0,PKG,,0,MSC ANSHIKA VI,26153195257227923,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Houston-Galveston, TX"
,DSVFAMD8098798,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCLU9507062,0,United States,India,2026-01-28T00:00:00,-,3478,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,33260318,HLCUBO1251265928,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGCYLIN,DRICAL ROLLER BEARINGHSN CODE : /,INV. NO. SI DATE : . .,SB NO. DATE : . . NET WT : ,,. KGS",,11,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,11,PKG,0.0,PKG,,0,TUCAPEL,26153195256940663,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,CHSL538783968BOM,,Z To Order and NA,-,Canada,,"CSLU6053232,OOCU6986452,TEMU7728230",0,United States,India,2026-01-28T00:00:00,-,111330,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,"1-22,1-24",COSU6439534350,0,0,,-,Z To Order and NA,,,-,New York,Mundra,ALUMINIUM PROFILES,,70,Not Available,Z To Order and NA,-,,,70,PKG,0.0,PKG,,0,KOI,26153195256953993,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
,DSVFAMD8099391,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,MSNU7276726,0,United States,India,2026-01-28T00:00:00,-,678,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,3 PKG,MEDUP4944344,0,0,,-,Z To Order and NA,,,-,New York Newark Area Newark New Jersey,JNPT,"THRUST BEARINGSHSCODE: / /,INV NO: DT: SBNO:,DT:",,3,Not Available,Excellent Engineering Corporation,"5, GIDC Makarpura",,,3,PKG,0.0,PKG,,0,MSC KRYSTAL,26153195256947454,page_1,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
